Your, Name, 
Wrap:,true
K(states):,5
Radius:,1
Quiescence:,true
random seed:,1810860427051845756


Experiment #:,0
Rule:,0113424323442
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.634934062655602,1.8919954870390203,0.0,
1,8,,0.872,0.8461538461538461,1.9076970162419562,1.9877733714879842,0.0,
2,10,,0.8240000000000001,0.7692307692307692,1.9239834248022694,1.9877733714879842,0.0,
3,3,,0.744,0.6923076923076923,2.0066083996646324,2.0381596816459533,0.0,
4,6,,0.5920000000000001,0.6153846153846154,1.6179438421836876,1.760495029766198,0.0,
5,1,,0.5680000000000001,0.5384615384615384,1.484221080790747,1.4604846813131116,0.0,
6,11,,0.544,0.46153846153846156,1.4795517029453413,1.419556298571613,0.0,
7,12,,0.536,0.3846153846153846,1.4771009760670812,1.3346791410515946,0.0,
8,7,,0.392,0.3076923076923077,1.352287526920652,1.198183947911799,0.0,
9,5,,0.248,0.23076923076923073,1.0330698935826832,0.9912642605354289,0.0,
10,4,,0.128,0.15384615384615385,0.6740951058310028,0.7732283485249176,0.0,
11,9,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.0,
12,2,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,13
Rule:,0121331114233
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.6822441780009014,2.038159681645953,0.0,
1,4,,0.872,0.8461538461538461,1.9273824093469063,2.133937566094917,0.0,
2,6,,0.72,0.7692307692307692,2.1021436275481316,2.199687794731328,0.0,
3,10,,0.6719999999999999,0.6923076923076923,2.0011440148126063,2.103909910282364,0.0,
4,9,,0.5920000000000001,0.6153846153846154,1.7098257803939565,1.8262452584026092,0.0,
5,8,,0.472,0.5384615384615384,1.6367653397500987,1.7758589482446405,0.0,
6,12,,0.46399999999999997,0.46153846153846156,1.6237322665393288,1.669180336866731,0.0,
7,3,,0.384,0.3846153846153846,1.505546921505749,1.5465935642949382,0.0,
8,7,,0.24,0.3076923076923077,1.0726673952518118,1.352030101757953,0.0,
9,11,,0.21599999999999997,0.23076923076923073,1.0172652666161477,1.1451104143815827,0.0,
10,1,,0.19199999999999995,0.15384615384615385,0.8614020063563284,0.7732283485249176,0.0,
11,2,,0.14400000000000002,0.07692307692307687,0.5946193440950123,0.39124356362925566,0.0,
12,5,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,14
Rule:,0422141334212
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,2.0310899560348505,2.199687794731328,0.0,
1,7,,0.848,0.8461538461538461,2.248298150029035,2.199687794731328,0.0,
2,3,,0.768,0.7692307692307692,2.2144212104306806,2.237397409783102,0.0,
3,12,,0.76,0.6923076923076923,2.2045083889716754,2.199687794731328,0.0,
4,8,,0.64,0.6153846153846154,1.8739218887120588,1.922023142851573,0.0,
5,4,,0.52,0.5384615384615384,1.7728197488446575,1.8339272176418302,0.0,
6,2,,0.472,0.46153846153846156,1.6367653397500987,1.669180336866731,0.0,
7,10,,0.42400000000000004,0.3846153846153846,1.3984068339752056,1.3346791410515948,0.0,
8,5,,0.28,0.3076923076923077,1.1219443597378835,1.198183947911799,0.0,
9,9,,0.19999999999999996,0.23076923076923073,0.8278002679448351,0.9912642605354289,0.0,
10,11,,0.17600000000000005,0.15384615384615385,0.7723837682023824,0.7732283485249176,0.0,
11,6,,0.02400000000000002,0.07692307692307687,0.16334554318340233,0.39124356362925566,0.0,
12,1,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,15
Rule:,0431121113424
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.5897802009762072,2.133937566094917,0.0,
1,8,,0.872,0.8461538461538461,1.9848393400923765,2.2577560641285177,0.0,
2,9,,0.792,0.7692307692307692,1.9070696786844137,2.199687794731328,0.0,
3,6,,0.64,0.6923076923076923,1.9943403197134464,2.199687794731328,0.0,
4,11,,0.616,0.6153846153846154,1.9642219609343439,2.075869296697727,0.0,
5,3,,0.536,0.5384615384615384,1.9256594075789646,1.9877733714879842,0.0,
6,1,,0.512,0.46153846153846156,1.8581051405432325,1.8810947601100747,0.0,
7,7,,0.368,0.3846153846153846,1.6312087044636014,1.7004397181410922,0.0,
8,5,,0.22399999999999998,0.3076923076923077,1.0941349719820124,1.352030101757953,0.0,
9,2,,0.17600000000000005,0.23076923076923073,0.830069103154867,0.9912642605354289,0.0,
10,12,,0.16800000000000004,0.15384615384615385,0.7981133676610607,0.7732283485249176,0.0,
11,10,,0.12,0.07692307692307687,0.5293608652873644,0.39124356362925566,0.0,
12,4,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,16
Rule:,0434241224333
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.906196644827007,2.103909910282364,0.0,
1,10,,0.944,0.8461538461538461,1.9952305216007917,2.199687794731328,0.0,
2,1,,0.92,0.7692307692307692,2.04859524307291,2.237397409783102,0.0,
3,5,,0.776,0.6923076923076923,2.1413634570278677,2.199687794731328,0.0,
4,6,,0.624,0.6153846153846154,1.7753705333814045,1.922023142851573,0.0,
5,3,,0.544,0.5384615384615384,1.629852342744063,1.7758589482446405,0.0,
6,7,,0.4,0.46153846153846156,1.5193308322365362,1.669180336866731,0.0,
7,8,,0.28,0.3846153846153846,1.291314688649721,1.4885252948977485,0.0,
8,4,,0.16000000000000003,0.3076923076923077,0.7943095546405663,1.1401156785146092,0.0,
9,9,,0.07999999999999996,0.23076923076923073,0.4021791902022729,0.7793498372920852,0.0,
10,12,,0.07199999999999995,0.15384615384615385,0.3733433210798536,0.6193821946787638,0.0,
11,11,,0.04800000000000004,0.07692307692307687,0.2778395739583094,0.39124356362925566,0.0,
12,2,,0.0,0.0,-0.0,-0.0,0.0,


Experiment #:,17
Rule:,0423343341424
Step,Entry Zeroed,Class,Lambda,Lambda_t,H,H_t,Zeta,Observations
0,-,,0.992,0.9230769230769231,1.6518789913978398,2.038159681645953,0.0,
1,5,,0.848,0.8461538461538461,1.9440578470169916,2.161978179679554,0.0,
2,1,,0.8240000000000001,0.7692307692307692,1.9487941372550328,2.199687794731328,0.0,
3,6,,0.6719999999999999,0.6923076923076923,2.0630233389548343,2.199687794731328,0.0,
